122	Indiana Jones and the Last Crusade (Ubisoft version)	13	Ubisoft	13	24	1993	13.0
123	Isolated Warrior	3	Vap	4	20	1990	3.9523809523809526
124	Jackal	3	Konami	2	50	1988	2.019607843137255
125	Jaws	11	LJN	8	42	1987	8.069767441860465
126	Jordan vs. Bird: One on One	8	Milton Bradley	9	12	1989	8.923076923076923
127	Journey to Silius	8	Sunsoft	4	45	1990	4.086956521739131
128	Jurassic Park	9	Ocean	8	14	1993	8.066666666666666
129	Kabuki Quantum Fighter	9	Hal	4	22	1991	4.217391304347826
130	Karate Champ	13	Data East	11	47	1986	11.041666666666666
131	Karate Kid	4	LJN	9	44	1987	8.88888888888889
132	Karnov	8	Data East	6	22	1987	6.086956521739131
133	Kid Icarus	6	Nintendo	6	79	1986	6.0
134	Kings of the Beach	2	Ultra	4	19	1988	3.9
135	Kung Fu	9	Nintendo	5	89	1985	5.044444444444444
136	Lee Trevino's Fighting Golf	9	SNK	6	10	1988	6.2727272727272725
137	Legend of Kage	5	Taito	7	39	1986	6.95
138	Legendary Wings	8	Capcom	5	25	1988	5.115384615384615
139	Lethal Weapon	13	Ocean	11	13	1992	11.142857142857142
140	Life Force	3	Konami	3	77	1988	3.0
141	Lolo, Adventures of	5	Hai	4	37	1988	4.026315789473684
142	Low G Man	9	Taxan	6	8	1990	6.333333333333333
143	M.U.L.E.	3	Mindscape	6	16	1990	5.823529411764706
144	Magmax	7	Nihon	7	20	1988	7.0
145	Major League Baseball	13	LJN	10	22	1988	10.130434782608695
146	Maniac Mansion	10	Jaleco	4	46	1986	4.127659574468085
147	Mappy-Land	5	Taxan	6	16	1988	5.9411764705882355
148	Marble Madness	2	Tengen	4	49	1984	3.96
149	Mega Man	5	Capcom	4	106	1987	4.009345794392523
150	Mega Man 2	3	Capcom	2	147	1989	2.0067567567567566
151	Mega Man 3	6	Capcom	3	114	1990	3.026086956521739
152	Mega Man 4	4	Capcom	4	80	1991	4.0
153	Mega Man 5	4	Capcom	4	64	1992	4.0
154	Mega Man 6	4	Capcom	4	68	1993	4.0
155	Metal Gear	11	Konami	7	67	1989	7.0588235294117645
156	Metalstorm	13	Irem	4	63	1990	4.140625
157	Metroid	5	Nintendo	5	116	1986	5.0
158	Micro Machines	3	Camerica	3	24	1991	3.0
159	Micro Machines (Aladdin version)	3	Codemasters	5	8	1992	4.777777777777778
160	Mighty Bomb Jack	8	Tecmo	8	9	1997	8.0
161	Mike Tyson's Punch-Out!!	1	Nintendo	2	143	1987	1.9930555555555556
162	Millipede	10	Hal	6	20	1988	6.190476190476191
163	Milon's Secret Castle	12	Hudson Soft	11	47	1987	11.020833333333334
164	Monster Party	7	Bandai	6	36	1989	6.027027027027027
